"No.","Time","Source","Destination","Protocol","Length","Info"
"19937","227.612069","192.168.3.103","34.49.233.224","TCP","66","54396  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"19938","227.613042","192.168.3.103","34.49.233.224","TCP","66","54397  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"19939","227.628317","34.49.233.224","192.168.3.103","TCP","66","443  >  54396 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"19940","227.628471","192.168.3.103","34.49.233.224","TCP","54","54396  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"19941","227.629155","34.49.233.224","192.168.3.103","TCP","66","443  >  54397 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"19942","227.629256","192.168.3.103","34.49.233.224","TCP","54","54397  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"19943","227.629627","192.168.3.103","34.49.233.224","TCP","1466","54396  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=1412 [TCP PDU reassembled in 19944]"
"19944","227.629627","192.168.3.103","34.49.233.224","TLSv1.3","401","Client Hello (SNI=geeksforgeeks.org)"
"19945","227.631337","192.168.3.103","34.49.233.224","TCP","1466","54397  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=1412 [TCP PDU reassembled in 19946]"
"19946","227.631337","192.168.3.103","34.49.233.224","TLSv1.3","369","Client Hello (SNI=geeksforgeeks.org)"
"19947","227.649883","34.49.233.224","192.168.3.103","TCP","66","[TCP Dup ACK 19939#1] 443  >  54396 [ACK] Seq=1 Ack=1 Win=269824 Len=0 SLE=1413 SRE=1760"
"19948","227.649883","34.49.233.224","192.168.3.103","TCP","54","443  >  54396 [ACK] Seq=1 Ack=1760 Win=268288 Len=0"
"19949","227.649883","34.49.233.224","192.168.3.103","TCP","66","[TCP Dup ACK 19941#1] 443  >  54397 [ACK] Seq=1 Ack=1 Win=269824 Len=0 SLE=1413 SRE=1728"
"19950","227.649883","34.49.233.224","192.168.3.103","TCP","54","443  >  54397 [ACK] Seq=1 Ack=1728 Win=268288 Len=0"
"19951","227.650148","34.49.233.224","192.168.3.103","TLSv1.3","1466","Server Hello, Change Cipher Spec"
"19952","227.650482","34.49.233.224","192.168.3.103","TCP","1466","443  >  54396 [PSH, ACK] Seq=1413 Ack=1760 Win=268288 Len=1412 [TCP PDU reassembled in 19955]"
"19953","227.650546","192.168.3.103","34.49.233.224","TCP","54","54396  >  443 [ACK] Seq=1760 Ack=2825 Win=131072 Len=0"
"19954","227.650873","34.49.233.224","192.168.3.103","TCP","1466","443  >  54396 [ACK] Seq=2825 Ack=1760 Win=268288 Len=1412 [TCP PDU reassembled in 19955]"
"19955","227.651107","34.49.233.224","192.168.3.103","TLSv1.3","1434","Application Data"
"19956","227.651196","192.168.3.103","34.49.233.224","TCP","54","54396  >  443 [ACK] Seq=1760 Ack=5617 Win=131072 Len=0"
"19957","227.652799","34.49.233.224","192.168.3.103","TLSv1.3","1466","Server Hello, Change Cipher Spec"
"19958","227.652989","34.49.233.224","192.168.3.103","TCP","1466","443  >  54397 [PSH, ACK] Seq=1413 Ack=1728 Win=268288 Len=1412 [TCP PDU reassembled in 19961]"
"19959","227.653050","192.168.3.103","34.49.233.224","TCP","54","54397  >  443 [ACK] Seq=1728 Ack=2825 Win=131072 Len=0"
"19960","227.653326","34.49.233.224","192.168.3.103","TCP","1466","443  >  54397 [ACK] Seq=2825 Ack=1728 Win=268288 Len=1412 [TCP PDU reassembled in 19961]"
"19961","227.653653","34.49.233.224","192.168.3.103","TLSv1.3","1434","Application Data"
"19962","227.653732","192.168.3.103","34.49.233.224","TCP","54","54397  >  443 [ACK] Seq=1728 Ack=5617 Win=131072 Len=0"
"19963","227.657283","192.168.3.103","34.49.233.224","TLSv1.3","118","Change Cipher Spec, Application Data"
"19964","227.658281","192.168.3.103","34.49.233.224","TLSv1.3","118","Change Cipher Spec, Application Data"
"19965","227.658896","192.168.3.103","34.49.233.224","TCP","54","54397  >  443 [FIN, ACK] Seq=1792 Ack=5617 Win=131072 Len=0"
"19966","227.659375","192.168.3.103","34.49.233.224","TLSv1.3","146","Application Data"
"19967","227.659820","192.168.3.103","34.49.233.224","TLSv1.3","572","Application Data"
"19968","227.673637","34.49.233.224","192.168.3.103","TLSv1.3","640","Application Data, Application Data"
"19969","227.673959","192.168.3.103","34.49.233.224","TLSv1.3","85","Application Data"
"19970","227.674642","34.49.233.224","192.168.3.103","TLSv1.3","640","Application Data, Application Data"
"19971","227.674720","192.168.3.103","34.49.233.224","TCP","54","54397  >  443 [RST, ACK] Seq=1793 Ack=6203 Win=0 Len=0"
"19972","227.674939","34.49.233.224","192.168.3.103","TLSv1.3","85","Application Data"
"19973","227.675662","34.49.233.224","192.168.3.103","TCP","54","443  >  54397 [FIN, ACK] Seq=6203 Ack=1793 Win=268288 Len=0"
"19974","227.682138","34.49.233.224","192.168.3.103","TCP","54","443  >  54396 [ACK] Seq=6234 Ack=2434 Win=267776 Len=0"
"19975","227.691112","34.49.233.224","192.168.3.103","TCP","54","443  >  54396 [ACK] Seq=6234 Ack=2465 Win=267776 Len=0"
"19976","227.720092","192.168.3.103","34.49.233.224","TCP","54","54396  >  443 [ACK] Seq=2465 Ack=6234 Win=130560 Len=0"
"19978","228.569549","34.49.233.224","192.168.3.103","TLSv1.3","309","Application Data"
"19979","228.572319","34.49.233.224","192.168.3.103","TLSv1.3","323","Application Data"
"19980","228.572485","192.168.3.103","34.49.233.224","TCP","54","54396  >  443 [ACK] Seq=2465 Ack=6758 Win=130048 Len=0"
"19981","228.573437","34.49.233.224","192.168.3.103","TLSv1.3","85","Application Data"
"19982","228.573437","34.49.233.224","192.168.3.103","TLSv1.3","93","Application Data"
"19983","228.573640","192.168.3.103","34.49.233.224","TCP","54","54396  >  443 [ACK] Seq=2465 Ack=6828 Win=130048 Len=0"
"19984","228.574153","192.168.3.103","34.49.233.224","TLSv1.3","93","Application Data"
"19988","228.590408","34.49.233.224","192.168.3.103","TCP","54","443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0"
"33933","258.608426","34.49.233.224","192.168.3.103","TCP","54","[TCP Keep-Alive] 443  >  54396 [ACK] Seq=6827 Ack=2504 Win=267776 Len=0"
"33934","258.608492","192.168.3.103","34.49.233.224","TCP","54","[TCP Keep-Alive ACK] 54396  >  443 [ACK] Seq=2504 Ack=6828 Win=130048 Len=0"
"36992","273.600558","192.168.3.103","34.49.233.224","TCP","55","[TCP Keep-Alive] 54396  >  443 [ACK] Seq=2503 Ack=6828 Win=130048 Len=1"
"36993","273.616603","34.49.233.224","192.168.3.103","TCP","66","[TCP Keep-Alive ACK] 443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0 SLE=2503 SRE=2504"
"40895","303.603104","34.49.233.224","192.168.3.103","TCP","54","[TCP Keep-Alive] 443  >  54396 [ACK] Seq=6827 Ack=2504 Win=267776 Len=0"
"40896","303.603177","192.168.3.103","34.49.233.224","TCP","54","[TCP Keep-Alive ACK] 54396  >  443 [ACK] Seq=2504 Ack=6828 Win=130048 Len=0"
"45158","318.630787","192.168.3.103","34.49.233.224","TCP","55","[TCP Keep-Alive] 54396  >  443 [ACK] Seq=2503 Ack=6828 Win=130048 Len=1"
"45159","318.646658","34.49.233.224","192.168.3.103","TCP","66","[TCP Keep-Alive ACK] 443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0 SLE=2503 SRE=2504"
"46122","348.602051","34.49.233.224","192.168.3.103","TCP","54","[TCP Keep-Alive] 443  >  54396 [ACK] Seq=6827 Ack=2504 Win=267776 Len=0"
"46123","348.602177","192.168.3.103","34.49.233.224","TCP","54","[TCP Keep-Alive ACK] 54396  >  443 [ACK] Seq=2504 Ack=6828 Win=130048 Len=0"
"48397","363.651199","192.168.3.103","34.49.233.224","TCP","55","[TCP Keep-Alive] 54396  >  443 [ACK] Seq=2503 Ack=6828 Win=130048 Len=1"
"48398","363.669320","34.49.233.224","192.168.3.103","TCP","66","[TCP Keep-Alive ACK] 443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0 SLE=2503 SRE=2504"
"51157","393.729726","34.49.233.224","192.168.3.103","TCP","54","[TCP Keep-Alive] 443  >  54396 [ACK] Seq=6827 Ack=2504 Win=267776 Len=0"
"51158","393.730012","192.168.3.103","34.49.233.224","TCP","54","[TCP Keep-Alive ACK] 54396  >  443 [ACK] Seq=2504 Ack=6828 Win=130048 Len=0"
"56033","408.680251","192.168.3.103","34.49.233.224","TCP","55","[TCP Keep-Alive] 54396  >  443 [ACK] Seq=2503 Ack=6828 Win=130048 Len=1"
"56038","408.816406","34.49.233.224","192.168.3.103","TCP","66","[TCP Keep-Alive ACK] 443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0 SLE=2503 SRE=2504"
"59422","439.747999","34.49.233.224","192.168.3.103","TCP","54","[TCP Keep-Alive] 443  >  54396 [ACK] Seq=6827 Ack=2504 Win=267776 Len=0"
"59425","439.748094","192.168.3.103","34.49.233.224","TCP","54","[TCP Keep-Alive ACK] 54396  >  443 [ACK] Seq=2504 Ack=6828 Win=130048 Len=0"
"63023","453.820814","192.168.3.103","34.49.233.224","TCP","55","[TCP Keep-Alive] 54396  >  443 [ACK] Seq=2503 Ack=6828 Win=130048 Len=1"
"63137","453.909970","34.49.233.224","192.168.3.103","TCP","66","[TCP Keep-Alive ACK] 443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0 SLE=2503 SRE=2504"
"76417","484.603291","34.49.233.224","192.168.3.103","TCP","54","[TCP Keep-Alive] 443  >  54396 [ACK] Seq=6827 Ack=2504 Win=267776 Len=0"
"76418","484.603355","192.168.3.103","34.49.233.224","TCP","54","[TCP Keep-Alive ACK] 54396  >  443 [ACK] Seq=2504 Ack=6828 Win=130048 Len=0"
"81257","498.917572","192.168.3.103","34.49.233.224","TCP","55","[TCP Keep-Alive] 54396  >  443 [ACK] Seq=2503 Ack=6828 Win=130048 Len=1"
"81325","499.084094","34.49.233.224","192.168.3.103","TCP","66","[TCP Keep-Alive ACK] 443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0 SLE=2503 SRE=2504"
"82513","529.599407","34.49.233.224","192.168.3.103","TCP","54","[TCP Keep-Alive] 443  >  54396 [ACK] Seq=6827 Ack=2504 Win=267776 Len=0"
"82514","529.599516","192.168.3.103","34.49.233.224","TCP","54","[TCP Keep-Alive ACK] 54396  >  443 [ACK] Seq=2504 Ack=6828 Win=130048 Len=0"
"82653","544.085452","192.168.3.103","34.49.233.224","TCP","55","[TCP Keep-Alive] 54396  >  443 [ACK] Seq=2503 Ack=6828 Win=130048 Len=1"
"82654","544.101942","34.49.233.224","192.168.3.103","TCP","66","[TCP Keep-Alive ACK] 443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0 SLE=2503 SRE=2504"
"85512","574.599392","34.49.233.224","192.168.3.103","TCP","54","[TCP Keep-Alive] 443  >  54396 [ACK] Seq=6827 Ack=2504 Win=267776 Len=0"
"85513","574.599494","192.168.3.103","34.49.233.224","TCP","54","[TCP Keep-Alive ACK] 54396  >  443 [ACK] Seq=2504 Ack=6828 Win=130048 Len=0"
"85824","589.120037","192.168.3.103","34.49.233.224","TCP","55","[TCP Keep-Alive] 54396  >  443 [ACK] Seq=2503 Ack=6828 Win=130048 Len=1"
"85825","589.136307","34.49.233.224","192.168.3.103","TCP","66","[TCP Keep-Alive ACK] 443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0 SLE=2503 SRE=2504"
"87305","619.597333","34.49.233.224","192.168.3.103","TCP","54","[TCP Keep-Alive] 443  >  54396 [ACK] Seq=6827 Ack=2504 Win=267776 Len=0"
"87306","619.597486","192.168.3.103","34.49.233.224","TCP","54","[TCP Keep-Alive ACK] 54396  >  443 [ACK] Seq=2504 Ack=6828 Win=130048 Len=0"
"87562","634.138703","192.168.3.103","34.49.233.224","TCP","55","[TCP Keep-Alive] 54396  >  443 [ACK] Seq=2503 Ack=6828 Win=130048 Len=1"
"87564","634.156313","34.49.233.224","192.168.3.103","TCP","66","[TCP Keep-Alive ACK] 443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0 SLE=2503 SRE=2504"
"93878","664.596496","34.49.233.224","192.168.3.103","TCP","54","[TCP Keep-Alive] 443  >  54396 [ACK] Seq=6827 Ack=2504 Win=267776 Len=0"
"93879","664.596624","192.168.3.103","34.49.233.224","TCP","54","[TCP Keep-Alive ACK] 54396  >  443 [ACK] Seq=2504 Ack=6828 Win=130048 Len=0"
"93981","679.157087","192.168.3.103","34.49.233.224","TCP","55","[TCP Keep-Alive] 54396  >  443 [ACK] Seq=2503 Ack=6828 Win=130048 Len=1"
"93982","679.175678","34.49.233.224","192.168.3.103","TCP","66","[TCP Keep-Alive ACK] 443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0 SLE=2503 SRE=2504"
"99685","709.595491","34.49.233.224","192.168.3.103","TCP","54","[TCP Keep-Alive] 443  >  54396 [ACK] Seq=6827 Ack=2504 Win=267776 Len=0"
"99686","709.595642","192.168.3.103","34.49.233.224","TCP","54","[TCP Keep-Alive ACK] 54396  >  443 [ACK] Seq=2504 Ack=6828 Win=130048 Len=0"
"99941","724.178982","192.168.3.103","34.49.233.224","TCP","55","[TCP Keep-Alive] 54396  >  443 [ACK] Seq=2503 Ack=6828 Win=130048 Len=1"
"99942","724.194692","34.49.233.224","192.168.3.103","TCP","66","[TCP Keep-Alive ACK] 443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0 SLE=2503 SRE=2504"
"100189","754.595776","34.49.233.224","192.168.3.103","TCP","54","[TCP Keep-Alive] 443  >  54396 [ACK] Seq=6827 Ack=2504 Win=267776 Len=0"
"100190","754.595925","192.168.3.103","34.49.233.224","TCP","54","[TCP Keep-Alive ACK] 54396  >  443 [ACK] Seq=2504 Ack=6828 Win=130048 Len=0"
"100269","769.198212","192.168.3.103","34.49.233.224","TCP","55","[TCP Keep-Alive] 54396  >  443 [ACK] Seq=2503 Ack=6828 Win=130048 Len=1"
"100272","769.214750","34.49.233.224","192.168.3.103","TCP","66","[TCP Keep-Alive ACK] 443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0 SLE=2503 SRE=2504"
"100544","799.594076","34.49.233.224","192.168.3.103","TCP","54","[TCP Keep-Alive] 443  >  54396 [ACK] Seq=6827 Ack=2504 Win=267776 Len=0"
"100545","799.594141","192.168.3.103","34.49.233.224","TCP","54","[TCP Keep-Alive ACK] 54396  >  443 [ACK] Seq=2504 Ack=6828 Win=130048 Len=0"
"100601","814.225230","192.168.3.103","34.49.233.224","TCP","55","[TCP Keep-Alive] 54396  >  443 [ACK] Seq=2503 Ack=6828 Win=130048 Len=1"
"100602","814.250316","34.49.233.224","192.168.3.103","TCP","66","[TCP Keep-Alive ACK] 443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0 SLE=2503 SRE=2504"
